DATE,CSUSHPISA,Year,Month,Per_Capita_GDP,working_age_pop,Houses,CPI,UNRATE,EmpRate,Cons_Material,FEDFUNDS,urban_pop_us,Num_Households,median_income,Subsidy,old_age_pop
2018-11-01,205.679,2018,11,61709,206643656.6,6.4,252.594,3.8,70.99444316,238.8,2.2,82.3,127586,73030,38.859,15.4
2018-12-01,206.169,2018,12,61799,206762878.6,7.6,252.767,3.9,70.99503113,238.3,2.27,82.3,127586,73030,38.859,15.4
2019-01-01,206.539,2019,1,61889,206187752.6,7,252.718,4,71.01425545,238.5,2.4,82.5,128579,78250,40.185,15.8
2019-02-01,206.848,2019,2,62036.33333,206154545.5,6.4,253.322,3.8,71.04350975,238.1,2.4,82.5,128579,78250,40.185,15.8
2019-03-01,207.047,2019,3,62183.66667,206099024.8,5.7,254.202,3.8,71.07026376,238.1,2.41,82.5,128579,78250,40.185,15.8
2019-04-01,207.506,2019,4,62331,206170068.6,5.8,255.211,3.6,71.13624728,237.2,2.42,82.5,128579,78250,40.185,15.8
2019-05-01,208.138,2019,5,62535.66667,206451313.2,6.7,255.29,3.7,71.14531224,237.3,2.39,82.5,128579,78250,40.185,15.8
2019-06-01,208.659,2019,6,62740.33333,206564990.5,5.2,255.159,3.6,71.24389159,236.3,2.38,82.5,128579,78250,40.185,15.8
2019-07-01,209.262,2019,7,62945,206412025.2,5.9,255.685,3.7,71.26878036,235.6,2.4,82.5,128579,78250,40.185,15.8
2019-08-01,210.102,2019,8,63049,206409591.6,5.4,256.059,3.7,71.41988492,234.4,2.13,82.5,128579,78250,40.185,15.8
2019-09-01,210.913,2019,9,63153,206341688.7,5.4,256.511,3.5,71.71975212,234.4,2.04,82.5,128579,78250,40.185,15.8
2019-10-01,211.808,2019,10,63257,206244263.9,5.3,257.244,3.6,71.72106042,233.8,1.83,82.5,128579,78250,40.185,15.8
2019-11-01,212.805,2019,11,62949,206317380.2,5.4,257.803,3.6,71.70966857,232.8,1.55,82.5,128579,78250,40.185,15.8
2019-12-01,213.955,2019,12,62641,206389716.2,5.6,258.616,3.6,71.69465193,232.2,1.55,82.5,128579,78250,40.185,15.8
2020-01-01,214.994,2020,1,62333,205727844.8,5.7,259.037,3.5,71.76865657,233.4,1.55,82.7,128451,76660,44.147,16.2
2020-02-01,215.837,2020,2,60684,205599624.5,5.6,259.248,3.5,71.79082645,234.6,1.58,82.7,128451,76660,44.147,16.2
2020-03-01,216.365,2020,3,59035,205438752.3,6.5,258.124,4.4,70.54868332,236.3,0.65,82.7,128451,76660,44.147,16.2
